,cut,clarity,color,price,depth,carat,table,x,y,z
44,Good,VS1,D,403,58.4,0.26,63,4.19,4.24,2.46
45,Good,SI2,H,403,63.1,0.32,56,4.34,4.37,2.75
46,Premium,SI1,F,403,62.4,0.29,58,4.24,4.26,2.65
47,Very Good,SI2,H,403,61.8,0.32,55,4.35,4.42,2.71
48,Good,SI2,H,403,63.8,0.32,56,4.36,4.38,2.79
49,Very Good,VS2,E,404,63.3,0.25,60,4,4.03,2.54
50,Very Good,SI2,H,404,60.7,0.29,60,4.33,4.37,2.64
51,Very Good,SI1,F,404,60.9,0.24,61,4.02,4.03,2.45
52,Ideal,VS1,G,404,61.9,0.23,54,3.93,3.95,2.44
53,Ideal,SI1,I,404,60.9,0.32,55,4.45,4.48,2.72
54,Premium,VS2,E,404,61.6,0.22,58,3.93,3.89,2.41
55,Premium,VS2,D,404,59.3,0.22,62,3.91,3.88,2.31
56,Ideal,SI2,I,405,61,0.3,59,4.3,4.33,2.63
57,Premium,SI2,J,405,59.3,0.3,61,4.43,4.38,2.61
58,Very Good,SI1,I,405,62.6,0.3,57,4.25,4.28,2.67
59,Very Good,SI1,I,405,63,0.3,57,4.28,4.32,2.71
60,Good,SI1,I,405,63.2,0.3,55,4.25,4.29,2.7
61,Ideal,VS1,I,552,60.9,0.35,57,4.54,4.59,2.78
62,Premium,SI1,D,552,62.6,0.3,59,4.23,4.27,2.66
63,Ideal,SI1,D,552,62.5,0.3,57,4.29,4.32,2.69
64,Ideal,SI1,D,552,62.1,0.3,56,4.3,4.33,2.68
65,Premium,SI2,I,552,61.5,0.42,59,4.78,4.84,2.96
66,Ideal,VVS2,G,553,61.4,0.28,56,4.19,4.22,2.58
67,Ideal,VVS1,I,553,62,0.32,55.3,4.39,4.42,2.73
68,Very Good,SI1,G,553,63.3,0.31,57,4.33,4.3,2.73
69,Premium,SI1,G,553,61.8,0.31,58,4.35,4.32,2.68
70,Premium,VVS1,E,553,60.7,0.24,58,4.01,4.03,2.44
71,Very Good,VVS1,D,553,61.5,0.24,60,3.97,4,2.45
72,Very Good,SI1,H,554,63.1,0.3,56,4.29,4.27,2.7
73,Premium,SI1,H,554,62.9,0.3,59,4.28,4.24,2.68
74,Premium,SI1,H,554,62.5,0.3,57,4.29,4.25,2.67
75,Good,SI1,H,554,63.7,0.3,57,4.28,4.26,2.72
76,Very Good,VVS2,F,554,59.2,0.26,60,4.19,4.22,2.49
77,Very Good,VVS2,E,554,59.9,0.26,58,4.15,4.23,2.51
78,Very Good,VVS2,D,554,62.4,0.26,54,4.08,4.13,2.56
79,Very Good,VVS2,D,554,62.8,0.26,60,4.01,4.05,2.53
80,Very Good,VVS1,E,554,62.6,0.26,59,4.06,4.09,2.55
81,Very Good,VVS1,E,554,63.4,0.26,59,4,4.04,2.55
82,Very Good,VVS1,D,554,62.1,0.26,60,4.03,4.12,2.53
83,Ideal,VVS2,E,554,62.9,0.26,58,4.02,4.06,2.54
84,Ideal,SI2,I,554,61.6,0.38,56,4.65,4.67,2.87
85,Good,VVS1,E,554,57.9,0.26,60,4.22,4.25,2.45
86,Premium,VVS1,G,554,62.3,0.24,59,3.95,3.92,2.45
87,Premium,VVS1,H,554,61.2,0.24,58,4.01,3.96,2.44
88,Premium,VVS1,H,554,60.8,0.24,59,4.02,4,2.44
89,Premium,VVS2,H,554,60.7,0.24,58,4.07,4.04,2.46
90,Premium,SI1,I,554,62.9,0.32,58,4.35,4.33,2.73
91,Ideal,SI1,E,2757,62.5,0.7,57,5.7,5.72,3.57
92,Fair,SI2,E,2757,55.1,0.86,69,6.45,6.33,3.52
93,Ideal,VS2,G,2757,61.6,0.7,56,5.7,5.67,3.5
94,Very Good,VS2,E,2759,62.4,0.71,57,5.68,5.73,3.56
95,Very Good,SI2,G,2759,63.8,0.78,56,5.81,5.85,3.72
96,Good,VS2,E,2759,57.5,0.7,58,5.85,5.9,3.38
97,Good,VS1,F,2759,59.4,0.7,62,5.71,5.76,3.4
98,Fair,SI2,F,2759,66.3,0.96,62,6.27,5.95,4.07
99,Very Good,SI1,E,2760,61.6,0.73,59,5.77,5.78,3.56
100,Premium,SI1,H,2760,61.5,0.8,58,5.97,5.93,3.66
101,Very Good,SI1,D,2760,63.2,0.75,56,5.8,5.75,3.65
102,Premium,SI1,E,2760,59.9,0.75,54,6,5.96,3.58
103,Ideal,SI1,G,2760,61.6,0.74,55,5.8,5.85,3.59
104,Premium,VS2,G,2760,61.7,0.75,58,5.85,5.79,3.59
105,Ideal,VS1,I,2760,62.9,0.8,56,5.94,5.87,3.72
106,Ideal,SI1,G,2760,62.2,0.75,55,5.87,5.8,3.63
107,Premium,SI1,G,2760,63,0.8,59,5.9,5.81,3.69
108,Ideal,VVS2,I,2761,62.3,0.74,55,5.77,5.81,3.61
109,Ideal,SI2,F,2761,58.8,0.81,57,6.14,6.11,3.6
110,Ideal,VVS2,E,2761,62,0.59,55,5.38,5.43,3.35
111,Ideal,SI2,F,2761,61.4,0.8,57,5.96,6,3.67
112,Ideal,SI2,E,2761,62.2,0.74,56,5.8,5.84,3.62
113,Premium,VS2,I,2761,63,0.9,58,6.16,6.12,3.87
114,Very Good,SI1,G,2762,62.2,0.74,59,5.73,5.82,3.59
115,Ideal,VS2,F,2762,62.6,0.73,56,5.77,5.74,3.6
116,Ideal,VS2,F,2762,62.7,0.73,53,5.8,5.75,3.62
117,Premium,SI2,F,2762,61.7,0.8,58,5.98,5.94,3.68
118,Ideal,VS2,G,2762,62.4,0.71,54,5.72,5.76,3.58
119,Ideal,VS2,E,2762,60.7,0.7,58,5.73,5.76,3.49
120,Ideal,SI2,F,2762,59.9,0.8,59,6.01,6.07,3.62
121,Ideal,SI2,D,2762,62.3,0.71,56,5.73,5.69,3.56
122,Ideal,SI1,E,2762,62.3,0.74,54,5.8,5.83,3.62
123,Very Good,VS2,F,2762,61.7,0.7,63,5.64,5.61,3.47
124,Fair,VS2,F,2762,64.5,0.7,57,5.57,5.53,3.58
125,Fair,VS2,F,2762,65.3,0.7,55,5.63,5.58,3.66
126,Premium,VS2,F,2762,61.6,0.7,60,5.65,5.59,3.46
127,Premium,SI1,H,2763,61.4,0.91,56,6.09,5.97,3.7
128,Very Good,VVS2,D,2763,59.6,0.61,57,5.56,5.58,3.32
129,Fair,SI2,H,2763,64.4,0.91,57,6.11,6.09,3.93
130,Fair,SI2,H,2763,65.7,0.91,60,6.03,5.99,3.95
131,Ideal,VS2,H,2763,62,0.77,56,5.89,5.86,3.64
132,Very Good,SI1,D,2764,63.6,0.71,58,5.64,5.68,3.6
133,Ideal,SI1,D,2764,61.9,0.71,59,5.69,5.72,3.53
134,Very Good,VS2,E,2765,62.6,0.7,60,5.62,5.65,3.53
135,Very Good,VS1,H,2765,61.3,0.77,60,5.88,5.9,3.61
136,Premium,VVS1,E,2765,60.9,0.63,60,5.52,5.55,3.37
137,Very Good,VS1,F,2765,60.1,0.71,62,5.74,5.77,3.46
138,Premium,VS1,F,2765,61.8,0.71,59,5.69,5.73,3.53
139,Ideal,SI1,H,2765,61.2,0.76,57,5.88,5.91,3.61
140,Ideal,VVS1,G,2766,61.9,0.64,56,5.53,5.56,3.43
141,Premium,VS2,G,2766,60.9,0.71,57,5.78,5.75,3.51
142,Premium,VS2,G,2766,59.8,0.71,56,5.89,5.81,3.5
143,Very Good,VS2,D,2767,61.8,0.7,55,5.68,5.72,3.52
144,Very Good,VS1,F,2767,60,0.7,57,5.8,5.87,3.5
145,Ideal,SI2,D,2767,61.6,0.71,55,5.74,5.76,3.54
146,Good,VVS2,H,2767,62.1,0.7,64,5.62,5.65,3.5
147,Very Good,VS1,G,2768,63.3,0.71,59,5.52,5.61,3.52
148,Very Good,SI1,D,2768,60.2,0.73,56,5.83,5.87,3.52
149,Very Good,SI1,D,2768,61.1,0.7,58,5.66,5.73,3.48
150,Ideal,SI1,E,2768,60.9,0.7,57,5.73,5.76,3.5
151,Premium,SI2,D,2768,61.7,0.71,59,5.71,5.67,3.51
152,Ideal,SI1,I,2769,61.3,0.74,56,5.82,5.86,3.57
153,Premium,VS2,D,2770,62.5,0.71,60,5.65,5.61,3.52
154,Premium,VS2,G,2770,61.4,0.73,59,5.83,5.76,3.56
155,Very Good,SI1,F,2770,62.9,0.76,57,5.79,5.81,3.65
156,Ideal,SI2,D,2770,62.4,0.76,57,5.78,5.83,3.62
157,Ideal,SI1,F,2770,60.7,0.71,56,5.77,5.8,3.51
158,Premium,VS2,G,2770,60.7,0.73,58,5.87,5.82,3.55
159,Premium,VS1,G,2770,61.5,0.73,58,5.79,5.75,3.55
160,Ideal,SI2,D,2770,59.9,0.73,57,5.92,5.89,3.54
161,Premium,VS2,G,2770,59.2,0.73,59,5.92,5.87,3.49
162,Very Good,VVS2,H,2771,60.3,0.72,56,5.81,5.83,3.51
163,Very Good,SI1,F,2771,61.7,0.73,60,5.79,5.82,3.58
164,Ideal,VS2,G,2771,61.9,0.71,57,5.73,5.77,3.56
165,Ideal,SI2,F,2771,61.9,0.79,55,5.97,5.92,3.68
166,Very Good,VVS1,H,2772,60.4,0.73,59,5.83,5.89,3.54
167,Very Good,SI2,F,2772,61,0.8,57,6.01,6.03,3.67
168,Ideal,VVS1,G,2772,61.5,0.58,55,5.39,5.44,3.33
169,Ideal,VVS1,F,2772,61.7,0.58,56,5.33,5.37,3.3
170,Good,VS2,E,2772,59.2,0.71,61,5.8,5.88,3.46
171,Ideal,SI2,D,2773,61.3,0.75,56,5.85,5.89,3.6
172,Premium,VS2,D,2773,58,0.7,62,5.87,5.78,3.38
173,Very Good,I1,J,2774,60.2,1.17,61,6.83,6.9,4.13
174,Ideal,VS1,E,2774,61.7,0.6,55,5.41,5.44,3.35
175,Ideal,SI1,E,2774,62.7,0.7,55,5.68,5.74,3.58
176,Good,VS2,I,2774,64.6,0.83,54,5.85,5.88,3.79
177,Very Good,VS2,F,2775,61.3,0.74,61,5.8,5.84,3.57
178,Very Good,VS2,G,2776,63.7,0.72,56.4,5.62,5.69,3.61
179,Premium,VS2,E,2776,62.7,0.71,58,5.74,5.68,3.58
180,Ideal,VS2,E,2776,62.2,0.71,57,5.79,5.62,3.55
181,Ideal,VVS2,E,2776,61.6,0.54,56,5.25,5.27,3.24
182,Ideal,VVS2,E,2776,61.5,0.54,57,5.24,5.26,3.23
183,Ideal,SI1,G,2776,61.8,0.72,56,5.72,5.75,3.55
184,Ideal,SI1,G,2776,60.7,0.72,56,5.79,5.82,3.53
185,Good,VS2,G,2776,59.7,0.72,60.5,5.8,5.84,3.47
186,Ideal,SI1,G,2776,60.5,0.71,56,5.8,5.76,3.5
187,Very Good,VS1,D,2777,62.7,0.7,58,5.66,5.73,3.57
188,Premium,VS2,F,2777,62.1,0.71,58,5.67,5.7,3.53
189,Very Good,VS2,F,2777,62.8,0.71,57,5.64,5.69,3.56
190,Good,VS2,F,2777,63.8,0.71,58,5.61,5.64,3.59
191,Good,VS2,F,2777,57.8,0.71,60,5.87,5.9,3.4
192,Ideal,VS2,E,2777,62.1,0.7,55,5.7,5.67,3.53
193,Premium,VS2,E,2777,61.1,0.7,60,5.71,5.64,3.47
194,Premium,SI1,E,2777,60,0.7,59,5.79,5.75,3.46
195,Premium,SI1,E,2777,61.2,0.7,57,5.73,5.68,3.49
196,Premium,SI1,E,2777,62.7,0.7,59,5.67,5.63,3.54
197,Premium,SI1,E,2777,61,0.7,57,5.73,5.68,3.48
198,Premium,SI1,E,2777,61,0.7,58,5.78,5.72,3.51
199,Ideal,SI1,E,2777,61.4,0.7,57,5.76,5.7,3.52
200,Premium,SI1,F,2777,61.8,0.72,61,5.82,5.71,3.56
201,Very Good,SI1,E,2777,59.9,0.7,63,5.76,5.7,3.43
202,Premium,SI1,E,2777,61.3,0.7,58,5.71,5.68,3.49
203,Premium,SI1,E,2777,60.5,0.7,58,5.77,5.74,3.48
204,Good,VS2,E,2777,64.1,0.7,59,5.64,5.59,3.6
205,Fair,SI2,H,2777,67.9,0.98,60,6.05,5.97,4.08
206,Premium,SI1,F,2777,62.4,0.78,58,5.83,5.8,3.63
207,Very Good,SI1,E,2777,63.2,0.7,60,5.6,5.51,3.51
208,Ideal,VVS1,F,2778,61.3,0.52,55,5.19,5.22,3.19
209,Very Good,VS2,H,2779,60.8,0.73,56,5.82,5.84,3.55
210,Ideal,SI1,E,2779,61.7,0.74,56,5.84,5.8,3.59
211,Very Good,VS2,F,2780,63.6,0.7,57,5.61,5.65,3.58
212,Premium,VS2,G,2780,61.2,0.77,58,5.9,5.93,3.62
213,Ideal,VS2,F,2780,62.1,0.71,54,5.68,5.72,3.54
214,Ideal,VS1,G,2780,61.5,0.74,55,5.81,5.86,3.59
215,Ideal,VS1,G,2780,61.4,0.7,59,5.64,5.73,3.49
216,Premium,I1,F,2781,61.8,1.01,60,6.39,6.36,3.94
217,Ideal,SI1,H,2781,62.2,0.77,56,5.83,5.88,3.64
218,Ideal,SI1,H,2781,61.2,0.78,56,5.92,5.99,3.64
219,Very Good,VS1,H,2782,60.6,0.72,63,5.83,5.76,3.51
220,Very Good,VVS2,D,2782,57.5,0.53,64,5.34,5.37,3.08
221,Ideal,VS2,G,2782,61.3,0.76,56,5.9,5.94,3.63
222,Good,VS1,E,2782,57.2,0.7,62,5.81,5.77,3.31
223,Premium,VS1,E,2782,62.9,0.7,60,5.62,5.54,3.51
224,Very Good,SI2,D,2782,63.1,0.75,58,5.78,5.73,3.63
225,Ideal,SI1,D,2782,60.8,0.72,57,5.76,5.75,3.5
226,Premium,SI1,D,2782,62.7,0.72,59,5.73,5.69,3.58
227,Premium,SI1,D,2782,62.8,0.7,60,5.68,5.66,3.56
228,Fair,SI1,G,2782,55.1,0.84,67,6.39,6.2,3.47
229,Premium,SI1,F,2782,61.4,0.75,59,5.88,5.85,3.6
230,Ideal,IF,F,2783,62.2,0.52,55,5.14,5.18,3.21
231,Very Good,VS2,F,2784,63,0.72,54,5.69,5.73,3.6
232,Very Good,VS1,H,2784,63.7,0.79,56,5.85,5.92,3.75
233,Very Good,VS2,F,2787,63.6,0.72,58,5.66,5.69,3.61
234,Ideal,VVS1,F,2787,62,0.51,57,5.11,5.15,3.18
235,Ideal,VS1,D,2787,61.5,0.64,56,5.54,5.55,3.41
236,Very Good,VVS1,H,2788,60.5,0.7,60,5.74,5.77,3.48
237,Very Good,VS1,I,2788,61.1,0.83,60,6.07,6.1,3.72
238,Ideal,VVS2,I,2788,61.8,0.76,56,5.85,5.87,3.62
239,Good,VS2,D,2788,63.3,0.71,56,5.64,5.68,3.58
240,Good,VS1,G,2788,59.4,0.77,64,5.97,5.92,3.53
241,Ideal,SI1,F,2788,62.5,0.71,55,5.71,5.65,3.55
242,Fair,I1,E,2788,64.5,1.01,58,6.29,6.21,4.03
243,Premium,SI2,H,2788,62.7,1.01,59,6.31,6.22,3.93
244,Good,SI1,F,2789,64.2,0.77,52,5.81,5.77,3.72
245,Good,SI1,E,2789,63.7,0.76,54,5.76,5.85,3.7
246,Premium,SI1,E,2789,60.4,0.76,58,5.92,5.94,3.58
247,Premium,SI1,E,2789,61.8,0.76,58,5.82,5.86,3.61
248,Very Good,SI2,J,2789,63.2,1.05,56,6.49,6.45,4.09
249,Ideal,SI2,G,2789,61.6,0.81,56,5.97,6.01,3.69
250,Ideal,SI1,E,2789,61.6,0.7,56,5.72,5.75,3.53
251,Ideal,IF,G,2789,60.9,0.55,57,5.28,5.3,3.22
252,Good,SI2,G,2789,61,0.81,61,5.94,5.99,3.64
253,Premium,VVS2,E,2789,62.1,0.63,57,5.48,5.41,3.38
254,Premium,VVS1,E,2789,60.9,0.63,60,5.55,5.52,3.37
255,Premium,VS1,H,2789,61.3,0.77,60,5.9,5.88,3.61
256,Fair,SI2,J,2789,65.8,1.05,59,6.41,6.27,4.18
257,Ideal,IF,G,2790,61.3,0.64,56,5.54,5.58,3.41
258,Premium,VVS1,I,2790,58.8,0.76,59,6,5.94,3.51
259,Ideal,SI2,F,2790,62.3,0.83,55,6.02,6.05,3.76
260,Premium,VS1,F,2790,60.1,0.71,62,5.77,5.74,3.46
261,Premium,VS1,F,2790,61.8,0.71,59,5.73,5.69,3.53
262,Very Good,SI1,I,2791,63.6,0.87,55.8,6.07,6.1,3.87
263,Ideal,SI1,E,2791,62.2,0.73,56,5.74,5.78,3.58
264,Premium,SI1,E,2792,59.2,0.71,59,5.83,5.86,3.46
265,Premium,SI1,E,2792,61.8,0.71,59,5.7,5.75,3.54
266,Ideal,SI1,E,2792,61.3,0.71,55,5.72,5.77,3.52
267,Premium,VS1,F,2792,62.1,0.7,60,5.71,5.65,3.53
268,Premium,VS1,F,2792,60.7,0.7,60,5.78,5.75,3.5
269,Premium,VVS2,H,2792,59.6,0.76,57,5.91,5.86,3.51
270,Ideal,VS1,F,2792,62.2,0.7,56,5.73,5.68,3.55
271,Very Good,SI1,G,2793,60.6,0.79,57,5.98,6.06,3.65
272,Very Good,VS2,E,2793,62.9,0.7,57,5.66,5.69,3.57
273,Good,VS2,E,2793,64.1,0.7,55,5.6,5.66,3.61
274,Ideal,VS2,I,2793,61.3,0.76,56,5.87,5.91,3.61
275,Ideal,VS2,H,2793,62.7,0.73,55,5.72,5.76,3.6
276,Very Good,SI1,E,2794,63.2,0.79,56,5.91,5.86,3.72
277,Very Good,VS2,E,2795,60.7,0.71,56,5.81,5.82,3.53
278,Premium,VVS2,I,2795,61.9,0.81,60,5.91,5.86,3.64
279,Ideal,SI2,F,2795,62.6,0.81,55,5.92,5.96,3.72
280,Good,VS1,F,2795,60.7,0.72,60,5.74,5.72,3.48
281,Premium,SI2,D,2795,62,0.72,60,5.73,5.69,3.54
282,Premium,IF,I,2795,63,0.72,57,5.72,5.7,3.6
283,Premium,VS2,H,2795,58,0.81,59,6.17,6.13,3.57
284,Premium,VS2,G,2795,62.9,0.72,57,5.73,5.65,3.58
285,Premium,SI2,I,2795,58.2,1,60,6.61,6.55,3.83
286,Good,SI1,E,2796,63.2,0.73,58,5.7,5.76,3.62
287,Very Good,SI2,H,2797,61.3,0.81,59,5.94,6.01,3.66
288,Very Good,SI1,E,2797,60.3,0.81,60,6.07,6.1,3.67
289,Premium,SI1,D,2797,62.7,0.71,60,5.67,5.71,3.57
290,Premium,SI1,D,2797,61.3,0.71,58,5.73,5.75,3.52
291,Premium,SI1,D,2797,61.6,0.71,60,5.74,5.69,3.52
292,Ideal,VVS2,F,2797,61.9,0.57,55,5.34,5.35,3.31
293,Ideal,VVS1,D,2797,61.7,0.51,56,5.12,5.16,3.17
294,Ideal,VS2,G,2797,61.9,0.72,58,5.72,5.75,3.55
295,Ideal,VS1,H,2797,61.8,0.74,58,5.77,5.81,3.58
296,Ideal,VS1,H,2797,61.6,0.74,56,5.81,5.82,3.58
297,Fair,VVS1,G,2797,58.8,0.7,66,5.81,5.9,3.44
298,Premium,SI2,F,2797,61,0.8,57,6.03,6.01,3.67
299,Fair,SI2,E,2797,67.4,1.01,60,6.19,6.05,4.13
300,Very Good,VS2,H,2797,63.4,0.8,60,5.92,5.82,3.72
301,Ideal,VS1,I,2798,61.5,0.77,59,5.87,5.91,3.62
302,Very Good,SI2,E,2799,58,0.83,62,6.19,6.25,3.61
303,Ideal,SI2,F,2799,62.4,0.82,54,5.97,6.02,3.74
304,Ideal,SI1,D,2799,61.9,0.78,57,5.91,5.86,3.64
305,Very Good,IF,G,2800,61.6,0.6,56,5.43,5.46,3.35
306,Good,SI2,I,2800,62.2,0.9,59,6.07,6.11,3.79
307,Premium,VS1,E,2800,62.2,0.7,58,5.6,5.66,3.5
308,Very Good,SI2,I,2800,61.3,0.9,56,6.17,6.23,3.8
309,Ideal,SI1,G,2800,62.3,0.83,57,5.99,6.08,3.76
310,Ideal,SI1,G,2800,61.8,0.83,57,6.03,6.07,3.74
311,Very Good,SI1,H,2800,62.5,0.83,59,5.95,6.02,3.74
312,Premium,VS1,G,2800,62.9,0.74,60,5.74,5.68,3.59
313,Ideal,VS1,I,2800,61.8,0.79,59,5.92,5.95,3.67
314,Ideal,IF,G,2800,62.3,0.61,56,5.43,5.45,3.39
315,Fair,VS1,G,2800,59,0.76,70,5.89,5.8,3.46
316,Ideal,I1,F,2801,60.7,0.96,55,6.37,6.41,3.88
317,Ideal,VS2,F,2801,62.5,0.73,55,5.8,5.76,3.61
318,Premium,VS2,F,2801,62.7,0.73,58,5.76,5.7,3.59
319,Ideal,SI1,H,2801,60.4,0.75,57,5.93,5.96,3.59
320,Premium,VS2,F,2801,62.1,0.71,58,5.7,5.67,3.53
321,Good,VS2,F,2801,57.8,0.71,60,5.9,5.87,3.4
322,Good,VS2,F,2801,63.8,0.71,58,5.64,5.61,3.59
323,Premium,VS2,F,2801,62.8,0.71,57,5.69,5.64,3.56
324,Premium,I1,G,2801,62.2,1.04,58,6.46,6.41,4
325,Premium,SI2,J,2801,62.3,1,58,6.45,6.34,3.98
326,Very Good,SI2,G,2802,59.9,0.87,58,6.19,6.23,3.72
327,Ideal,IF,F,2802,61.9,0.53,54,5.22,5.25,3.24
328,Premium,VS2,E,2802,63,0.72,55,5.79,5.61,3.59
329,Premium,VS1,F,2802,62.4,0.72,58,5.83,5.7,3.6
330,Very Good,VS2,F,2803,62.9,0.7,58,5.63,5.65,3.55
331,Very Good,SI1,E,2803,63.5,0.74,56,5.74,5.79,3.66
332,Ideal,VS2,G,2803,61.3,0.71,56,5.75,5.71,3.51
333,Ideal,SI1,E,2803,60.6,0.73,54,5.84,5.89,3.55
334,Good,VS1,G,2803,65.1,0.7,58,5.56,5.59,3.63
335,Premium,VS2,F,2803,62.6,0.71,58,5.7,5.67,3.56
336,Premium,VS2,F,2803,58,0.71,62,5.85,5.81,3.38
337,Premium,VS1,G,2803,62.4,0.71,61,5.7,5.65,3.54
338,Premium,VS2,G,2803,61.3,0.77,57,5.93,5.88,3.62
339,Premium,VS2,G,2803,59.9,0.71,60,5.81,5.77,3.47
340,Premium,VS2,G,2803,60.8,0.78,58,6.03,5.95,3.64
341,Very Good,VS1,G,2803,63.5,0.71,55,5.66,5.64,3.59
342,Ideal,SI2,D,2803,62.2,0.91,57,6.21,6.15,3.85
343,Very Good,VS2,E,2804,63.8,0.71,58,5.62,5.66,3.6
344,Very Good,VS2,E,2804,64,0.71,57,5.66,5.68,3.63
345,Very Good,SI2,E,2804,62.5,0.8,56,5.88,5.96,3.7
346,Very Good,SI1,D,2804,62.3,0.7,58,5.69,5.73,3.56
347,Ideal,VS1,F,2804,61.7,0.72,57,5.74,5.77,3.55
348,Very Good,VS1,F,2804,62.2,0.72,58,5.75,5.7,3.56
349,Ideal,VS2,H,2804,61.5,0.82,56,6.01,6.08,3.72
350,Ideal,SI1,D,2804,61,0.7,59,5.68,5.7,3.47
351,Ideal,SI1,D,2804,62.2,0.72,56,5.74,5.77,3.58
352,Ideal,SI1,D,2804,61.5,0.72,54,5.77,5.8,3.56
353,Fair,SI1,I,2804,67.3,0.9,59,5.93,5.84,3.96
354,Premium,VS2,F,2805,61.7,0.74,58,5.85,5.78,3.59
355,Premium,VS2,F,2805,61.9,0.74,56,5.8,5.77,3.58
356,Ideal,SI2,E,2805,61.8,0.73,58,5.77,5.81,3.58
357,Fair,VVS1,E,2805,58.7,0.57,66,5.34,5.43,3.16
358,Premium,VS2,F,2805,62.5,0.73,57,5.75,5.7,3.58
359,Ideal,VS2,G,2805,62.8,0.72,56,5.74,5.7,3.59
360,Fair,VS2,F,2805,61.1,0.74,68,5.82,5.75,3.53
361,Good,VS2,G,2805,64,0.82,57,5.92,5.89,3.78
362,Very Good,SI1,G,2806,62.5,0.81,60,5.89,5.94,3.69
363,Very Good,VVS1,H,2806,60.6,0.75,58,5.85,5.9,3.56
364,Ideal,SI1,F,2806,61.6,0.7,55,5.72,5.74,3.53
365,Very Good,VS1,F,2807,62.2,0.71,58,5.66,5.72,3.54
366,Very Good,VS1,F,2807,60,0.71,57,5.84,5.9,3.52
367,Premium,SI2,J,2807,61.9,0.93,57,6.21,6.19,3.84
368,Very Good,VS2,H,2808,62.8,0.8,57,5.87,5.91,3.7
369,Very Good,VS1,F,2808,62,0.7,57,5.64,5.71,3.52
370,Fair,I1,G,2808,66.4,1,59,6.16,6.09,4.07
371,Very Good,VS2,G,2808,63.4,0.75,56,5.78,5.74,3.65
372,Ideal,VVS2,E,2808,60.9,0.58,56,5.41,5.43,3.3
373,Very Good,SI1,D,2808,63.1,0.73,57,5.74,5.7,3.61
374,Very Good,SI1,F,2809,63.1,0.81,59,5.85,5.79,3.67
375,Premium,SI2,D,2809,59.2,0.81,57,6.15,6.05,3.61
376,Premium,SI1,F,2809,60.7,0.71,54,5.84,5.8,3.53
